y,a,b,unit,piece_idx
GT_power,4769.999999999999,5.820766091346741e-11,kW,0
fuel,35.12439864,1103.131116,MMBtu/hr,0
HP_power,388.18089271790956,13191.955364104524,kW,0
IP_power,464.88,2267.0,kW,0
PCC_reboiler_duty,5.117226403818393,162.13475497837624,MMBtu/hr,0
auxiliary_power,101.85730331103105,7173.189063880263,MMBtu/hr,0
DAC_base_steam_duty,1.5139541199999997,75.98732400000003,MMBtu/hr,0
DAC_side_steam_duty,2.9539885200000007,408.03244299999994,MMBtu/hr,0
CO2_emission,1.9611837106951069,62.138356857508796,t CO2/hr,0
