y,a,b,unit,piece_idx
GT_power,4770.000000000001,-5.820766091346741e-11,kW,0
GT_power,4770.0,0.0,kW,1
GT_power,4770.0,0.0,kW,2
GT_power,4770.0,0.0,kW,3
fuel,33.88290656418001,1246.3887874391985,MMBtu/hr,0
fuel,39.970362097799985,860.832943110001,MMBtu/hr,1
fuel,33.91290777555002,620.1019611629993,MMBtu/hr,2
fuel,39.970362097799985,430.4164715550005,MMBtu/hr,3
HP_power,359.35529090629024,16453.297690908264,kW,0
HP_power,524.4999999999999,6376.000000000007,kW,1
HP_power,312.1,7941.021750412034,kW,2
HP_power,516.2016707279588,1703.9498781612365,kW,3
IP_power,410.39,7862.600000000006,kW,0
IP_power,673.4,-8159.0,kW,1
IP_power,409.95000000000005,3426.333333333332,kW,2
IP_power,452.6,2087.0,kW,3
LP_power,263.21,39613.600000000006,kW,0
LP_power,545.6999999999999,22316.000000000004,kW,1
LP_power,203.99999999999997,18257.333333333332,kW,2
LP_power,605.2,6062.0,kW,3
PCC_reboiler_duty,4.942891736950022,182.3561162387366,MMBtu/hr,0
PCC_reboiler_duty,5.799229204419765,128.03461494830765,MMBtu/hr,1
PCC_reboiler_duty,4.946725703668052,90.74571473117138,MMBtu/hr,2
PCC_reboiler_duty,5.799229204419765,64.01730747415382,MMBtu/hr,3
auxiliary_power,97.3428746213026,7708.532142701068,kW,0
auxiliary_power,124.34341533636741,6048.883462613445,kW,1
auxiliary_power,78.26701198545359,6105.782366670454,kW,2
auxiliary_power,106.84417766905534,5225.044175982155,kW,3
DAC_base_steam_duty,1.3627965399999997,92.5822436,MMBtu/hr,0
DAC_base_steam_duty,2.1562155999999986,43.8742500000001,MMBtu/hr,1
DAC_base_steam_duty,1.4535563000000005,47.07986733333332,MMBtu/hr,2
DAC_base_steam_duty,2.6265092000000005,11.353600999999983,MMBtu/hr,3
DAC_side_steam_duty,2.727089119999999,438.022291,MMBtu/hr,0
DAC_side_steam_duty,4.375917000000004,336.93601899999976,MMBtu/hr,1
DAC_side_steam_duty,2.456334649999999,224.50669499999998,MMBtu/hr,2
DAC_side_steam_duty,5.634700399999995,127.48274700000013,MMBtu/hr,3
CO2_emission,1.8943697216528024,69.88822000257278,t CO2/hr,0
CO2_emission,2.2225621758319676,49.06943360066575,t CO2/hr,1
CO2_emission,1.8958390944108918,34.77841383241531,t CO2/hr,2
CO2_emission,2.2225621758319676,24.534716800332873,t CO2/hr,3
