MiNg_100_CAISO,MiNg_150_CAISO,MiNg_100_ERCOT,MiNg_150_ERCOT,MiNg_100_MISO-W,MiNg_150_MISO-W,MiNg_100_NYISO,MiNg_150_NYISO,MiNg_100_PJM-W,MiNg_150_PJM-W,BaseCaseTax,HighWindTax,HighSolarTax,WinterNYTax
68.05,1.27,0,0,4.87,0,1.36,0,35.06,0,46.68,127.08,46.68,9.19
68.11,1.27,0,0,4.46,0,1.36,0,50.52,0,46.68,57.76,46.68,9.19
68.12,1.21,0,0,4.79,0.01,78.61,96.8,67.13,12.2,46.68,57.76,46.65,52.59
67.99,1.21,0,0,38.66,0.03,86.07,107.03,82.35,104.71,46.68,54.2,46.68,54.2
68.13,1.27,0.12,0.15,47.51,0.03,86.07,107.04,82.65,104.59,46.68,46.68,46.68,54.2
86.17,99.92,0.16,0.16,48.16,0.03,86.07,107.04,82.11,103.2,46.68,43.32,46.68,54.2
87.11,99.93,0.16,0.15,46.58,0.03,86.07,107.04,81.45,101.9,46.68,0,46.68,54.2
88.63,99.94,0.13,0.15,40.99,0.03,86.07,107.03,81.4,101.89,46.68,0,46.68,54.2
87.11,99.94,0.13,0.15,40.03,0.03,85.92,107.03,81.42,100.51,46.68,0,46.68,55.98
87.11,99.94,0.13,0.15,34.56,0.03,81.65,100.32,81.21,100.45,46.68,41.14,46.68,55.98
87.72,108.96,32.59,0.21,6.37,0.14,71.07,2.45,78.2,100.61,54.2,46.68,55.98,70.13
87.72,108.96,20.1,0.21,5.86,0.14,61.49,1.99,77.76,100.52,55.98,49.22,60.6,70.13
87.72,108.95,20.26,0.21,6.31,0.15,61.49,1.99,77.16,98.55,151.11,75.13,95.71,204.36
87.72,108.95,19.74,0.21,5.91,0.14,61.49,1.99,77.07,97.85,62.25,57.76,62.25,55.98
87.72,108.95,19.65,0.21,6.32,0.15,61.49,1.99,77.42,97.87,55.98,46.68,62.25,55.98
87.72,108.95,38.2,0.21,6.27,0.14,71.53,2.18,78.32,99.48,55.98,46.68,55.98,55.98
87.73,108.96,38.34,0.21,6.48,0.14,72.48,2.42,78.56,100.77,55.98,46.68,55.98,55.98
87.74,108.97,38.36,0.21,6.94,0.17,79.36,2.5,78.43,101.29,55.98,46.68,55.98,55.98
87.74,108.98,38.36,0.22,7.62,0.17,72.48,1.86,76.69,101.27,55.98,46.68,55.98,55.98
87.74,108.98,0,0.09,6.3,0.14,57.75,1.39,63.06,63.03,55.98,46.68,55.98,55.98
87.75,108.98,0,0,5.15,0.14,57.76,1.39,61.49,61.27,54.2,46.68,46.68,54.2
70.11,1.49,0,0,5.3,0.13,57.82,1.39,61.43,61.1,46.68,158.31,46.68,52.59
57.25,1.03,0,0,5.13,0.13,57.75,1.39,61.42,61.02,46.68,54.2,46.68,9.19
56.98,1.01,0,0,5.12,0.15,57.75,1.39,61.16,60.81,46.68,54.2,46.68,9.19
57.24,1.03,0,0,4.98,0.14,56.46,1.39,49.01,5.18,46.68,54.2,20.69,9.19
57.23,1.03,0,0,4.89,0.14,57.75,1.39,55.34,55.7,46.68,54.2,9.19,9.19
57.24,1.03,0,0,4.73,0.15,70.91,1.73,61.99,65.38,46.68,54.2,9.19,52.59
57.22,1.03,0,0,6.3,8.48,74.78,1.76,76.58,98.77,46.68,54.2,13.73,54.2
62.88,1.08,71.49,95.36,50.57,8.51,70.91,1.73,77.17,99.5,46.68,46.68,46.68,55.98
87.7,108.93,80.51,103.99,50.62,8.52,70.91,1.72,77.16,99.49,54.2,46.68,54.2,70.13
87.71,108.94,79.81,103.99,50.92,8.59,70.91,1.72,77.15,99.45,54.2,46.68,54.2,83.25
87.72,108.95,80.51,103.99,50.92,8.6,70.75,1.39,77.01,99.42,54.2,46.68,54.2,83.25
87.72,108.95,81.52,103.99,51.08,8.56,67.39,1.39,76.16,99.22,54.2,46.68,54.2,83.25
87.72,108.95,81.26,104,48.06,7.2,57.11,1.39,73.57,95.7,55.98,54.2,55.98,221.45
93.95,118.39,84.38,107.44,42.96,2.52,52.78,1.37,73.56,104.16,62.25,57.76,77.9,83.25
93.95,118.39,85.53,107.86,46.16,2.75,52.77,1.37,74.78,104.94,73.56,64.2,78.92,83.25
93.95,118.38,85.53,107.87,46.23,2.76,52.76,1.37,76.33,105.74,62.25,57.76,93.11,83.25
93.95,118.39,85.53,107.79,46.15,2.64,52.76,1.37,76.34,105.77,62.25,55.99,62.25,83.25
93.94,118.38,85.53,107.81,46.22,2.65,52.77,1.37,76.79,105.8,55.98,54.2,62.25,58.02
93.96,118.4,85.66,107.81,46.02,2.73,52.8,1.39,77.59,105.99,55.98,54.2,55.98,55.98
93.95,118.39,85.53,107.81,51.85,2.75,52.78,1.39,77.61,105.96,55.98,54.2,55.98,55.98
93.96,118.4,85.53,107.79,52.85,10.16,62.34,1.39,78,105.94,55.98,46.68,55.98,55.98
93.97,118.42,85.49,107.56,53.43,10.37,63.11,1.39,77.17,106.02,55.98,46.68,55.98,55.98
93.97,118.42,72.64,94.87,6.73,0.01,62.34,1.39,45.97,10.03,55.98,46.68,61.72,55.98
93.98,118.43,0,0,2.79,0,52.77,1.07,26.73,0.11,54.2,46.68,46.68,54.2
74.99,93.06,0,0,2.66,0,31.68,1.02,24.45,0,46.68,54.2,46.68,41.98
56.78,1.21,0,0,2.7,0,31.83,1.03,29.16,0,46.68,61.44,46.68,41.98
56.77,1.21,0,0,2.71,0,52.76,1.14,29.88,0,46.68,57.76,46.68,9.19
57.28,1.22,0,0,0.01,0,52.77,1.37,23.2,0,46.68,57.76,27.44,9.19
57.28,1.22,0,0,0,0,62.17,1.39,3.61,0,46.68,54.98,9.19,9.19
57.29,1.22,0,0,0,0,79.11,1.43,30.96,0.12,46.68,54.2,9.19,41.98
0,1.04,0,0,0.01,0,79.44,1.44,52.49,10.06,46.68,54.2,44.57,54.2
57.53,1.22,44.98,0.23,0.14,0.01,79.45,1.44,53.3,10.35,46.68,46.68,46.68,54.2
85.27,113.96,44.99,0.23,0.14,0,79.44,1.44,53.35,10.37,46.68,43.32,46.68,55.98
94.79,118.37,44.98,0.23,0.14,0,79.44,1.44,53.29,10.56,46.68,0,46.68,55.98
94.79,118.38,44.95,0.22,0.14,0,79.45,1.44,53.15,10.65,46.68,18.39,46.68,55.98
94.79,118.39,44.9,0.21,0.04,0,79.44,1.44,53.14,10.71,9.19,0,46.68,55.98
94.79,118.39,44.88,0.21,0,0,79.1,1.44,53.12,10.84,46.68,0,46.68,55.98
96.43,112.78,47.82,87.29,0,0,74.63,1.39,31,9.95,46.68,0,46.68,55.98
96.43,112.78,41.36,87.29,0,0,63.32,1.37,31.13,9.91,54.2,43.32,54.2,55.98
96.43,112.78,42.67,87.28,0,0,1.7,0.2,31.31,9.5,62.25,46.68,79.95,138
96.42,112.78,42.37,87.28,0,0,1.36,0.18,31.03,9.47,88.67,46.68,97.96,55.98
96.42,112.77,41.98,87.27,0,0,1.36,0.18,31.59,9.44,62.25,46.68,62.25,55.98
96.42,112.79,47.69,87.28,0,0,1.36,0.18,31.91,9.36,60.95,46.68,62.25,55.98
96.42,112.79,47.77,88.35,0,0,1.36,0.29,32.03,9.49,62.25,46.68,62.25,55.98
96.43,112.8,47.84,88.36,0,0,1.75,0.3,30.6,9.76,62.25,46.68,62.25,55.98
96.43,112.81,47.84,88.36,0.07,0,0.18,0,7.5,9.19,62.25,46.68,62.25,55.98
96.43,112.82,31.68,34.6,0,0,0,0,0,0,62.25,46.68,62.25,55.98
96.43,112.82,21.82,27.26,0,0,0,0,0,0,46.68,46.68,46.68,54.2
76.33,90.18,0,0,0,0,0,0,0,0,46.68,46.68,46.68,19.98
0,86.37,0,0,0,0,0,0,0,0,46.68,46.68,46.68,9.19
38.61,87.29,0,0,0,0,0,0,0,0,46.68,46.68,12.73,9.19
71.77,87.29,0,0,0,0,0,0,0,0,46.68,46.68,9.19,9.19
71.68,87.35,0,0,0,0,0,0,0,0,46.68,46.68,9.19,9.19
71.72,87.25,0,0,0,0,0.03,0,0,0,46.68,46.68,0,54.2
71.72,87.29,0,0,0,0,0.18,0.06,7.56,9.47,46.68,46.68,18.39,55.98
71.73,87.26,0,0,0.12,0,0.18,0.06,7.8,9.78,46.68,46.68,46.68,54.2
96.43,112.77,0.12,0.04,0.12,0,0.18,0.03,7.87,9.85,46.68,43.32,46.68,55.98
97.16,112.77,0.07,0.03,0.12,0,0.18,0.01,7.92,9.91,46.68,0,46.68,55.98
97.16,112.79,0,0.03,0.12,0,0.18,0,8.04,10.05,46.68,0,46.68,55.98
97.16,112.78,0,0.03,0.1,0,0.17,0,8.09,10.01,9.19,0,46.68,54.2
96.43,112.78,0,0.03,0.06,0,0.09,0,7.93,11.34,46.68,0,46.68,54.2
91.74,103.91,0,0,0.09,0,0.1,0,7.05,9.51,46.68,0,46.68,55.98
91.39,103.91,0,0,0.09,0,0.1,0,7.03,9.47,46.68,46.68,46.68,55.98
91.39,103.9,0,0,0.07,0,0.12,0,7.05,9.37,54.2,46.68,62.25,152.06
